('1428997974', '84076180')
('50708900', '84076180')
('956268798654500864', '84076180')
('485877002', '84076180')
('477246208', '84076180')
('2811632133', '84076180')
('767067203950772230', '84076180')
('929873960627515393', '84076180')
('1671814346', '84076180')
('267136254', '84076180')
('204381497', '84076180')
('86142083', '84076180')
('310643679', '84076180')
('1968771350', '84076180')
('234084422', '84076180')
('60129425', '84076180')
('613201548', '84076180')
('260003092', '84076180')
('129919422', '84076180')
('2316361412', '84076180')
('329678623', '84076180')
('111055179', '84076180')
('462332723', '84076180')
('96007805', '84076180')
('3354380445', '84076180')
('59210870', '84076180')
('3373153996', '84076180')
('301154096', '84076180')
('328176752', '84076180')
('252804420', '84076180')
('2979943263', '84076180')
('460263352', '84076180')
('185483651', '84076180')
('69442465', '84076180')
('1661303318', '84076180')
('372916807', '84076180')
('881603131003555841', '84076180')
('16876863', '84076180')
('173320139', '84076180')
('173817113', '84076180')
('46451089', '84076180')
('154711897', '84076180')
('869791503463395328', '84076180')
('343768373', '84076180')
('3139036079', '84076180')
('829848170624667648', '84076180')
('508902558', '84076180')
('153502369', '84076180')
('75347149', '84076180')
('42333436', '84076180')
('182461601', '84076180')
('954452821889478661', '84076180')
('990661921', '84076180')
('2557402077', '84076180')
('851177636', '84076180')
('51565649', '84076180')
('281821820', '84076180')
('49888215', '84076180')
('3301730738', '84076180')
('2568031879', '84076180')
('1626475891', '84076180')
('852742760595546112', '84076180')
('735634730', '84076180')
('85916384', '84076180')
('899999419558440961', '84076180')
('38218494', '84076180')
('117850750', '84076180')
('723990085847363584', '84076180')
('123294033', '84076180')
('803990464676368384', '84076180')
('193904307', '84076180')
('60676940', '84076180')
('35655531', '84076180')
('177000971', '84076180')
('4550717541', '84076180')
('1398653772', '84076180')
('1020755562', '84076180')
('2216825900', '84076180')
('461515713', '84076180')
('912096314199908353', '84076180')
('2504249608', '84076180')
('1289469631', '84076180')
('3375101591', '84076180')
('1172729005', '84076180')
('869643010346283008', '84076180')
('170426488', '84076180')
('2256970182', '84076180')
('2866708917', '84076180')
('814541195976331264', '84076180')
('52415292', '84076180')
('2650714156', '84076180')
('230303826', '84076180')
('3292996623', '84076180')
('829424101429215232', '84076180')
('194136351', '84076180')
('4689631633', '84076180')
('379975791', '84076180')
('1518004561', '84076180')
('34675670', '84076180')
('54054543', '84076180')
('308076687', '84076180')
('797187348194848768', '84076180')
('342679792', '84076180')
('250104911', '84076180')
('2940692560', '84076180')
('37414040', '84076180')
('2746821695', '84076180')
('80352351', '84076180')
('851697290280669184', '84076180')
('457968900', '84076180')
('2739091013', '84076180')
('2421042684', '84076180')
('2741931201', '84076180')
('492189667', '84076180')
('51800062', '84076180')
('1176780008', '84076180')
('37467514', '84076180')
('59835986', '84076180')
('734204739919982593', '84076180')
('890093578986377216', '84076180')
('3239594506', '84076180')
('197224474', '84076180')
('139126353', '84076180')
('45410501', '84076180')
('235654620', '84076180')
('390976693', '84076180')
('2439206465', '84076180')
('71909512', '84076180')
('52973567', '84076180')
('275653046', '84076180')
('42049796', '84076180')
('2920520477', '84076180')
('48089541', '84076180')
('2226427284', '84076180')
('140196212', '84076180')
('2768275473', '84076180')
('3120663778', '84076180')
('3570953957', '84076180')
('154592088', '84076180')
('172593439', '84076180')
('923878355983839232', '84076180')
('561399075', '84076180')
('3075956003', '84076180')
('45557365', '84076180')
('79341589', '84076180')
('876213487353180160', '84076180')
('312641336', '84076180')
('194645058', '84076180')
('1272404605', '84076180')
('52548800', '84076180')
('81952781', '84076180')
('252512408', '84076180')
('885299053860466690', '84076180')
('911970556752404480', '84076180')
('272461884', '84076180')
('269927052', '84076180')
('50490619', '84076180')
('135256722', '84076180')
('2279202090', '84076180')
('29395691', '84076180')
('2190466083', '84076180')
('343044834', '84076180')
('712373441417121796', '84076180')
('850456295861886977', '84076180')
('70869124', '84076180')
('57491003', '84076180')
('2907206265', '84076180')
('142718126', '84076180')
('2849968732', '84076180')
('163220293', '84076180')
('2810043837', '84076180')
('2876941043', '84076180')
('36141659', '84076180')
('29861309', '84076180')
('802298657714372608', '84076180')
('2280327106', '84076180')
('395006563', '84076180')
('1132397352', '84076180')
('859724608219557888', '84076180')
('797744291548368896', '84076180')
('1571701525', '84076180')
('925499588768919552', '84076180')
('108597503', '84076180')
('193542505', '84076180')
('92852468', '84076180')
('832258256', '84076180')
('3775393397', '84076180')
('3368673832', '84076180')
('133783561', '84076180')
('56348185', '84076180')
('80874491', '84076180')
('868839991291637761', '84076180')
('169082533', '84076180')
('52912474', '84076180')
('737379221966819329', '84076180')
('2354413167', '84076180')
('51844128', '84076180')
('820704432056844288', '84076180')
('821153259775791104', '84076180')
('1218725053', '84076180')
('920727652989890565', '84076180')
('2865225633', '84076180')
('737231379251990528', '84076180')
('2961138117', '84076180')
('2584228210', '84076180')
('52406052', '84076180')
('26879654', '84076180')
('384039439', '84076180')
('3785206348', '84076180')
('50096283', '84076180')
('907581251934179330', '84076180')
('907660339193499648', '84076180')
('103393523', '84076180')
('3010284508', '84076180')
('712732013703380992', '84076180')
('60909587', '84076180')
('2908390828', '84076180')
('217748822', '84076180')
('2803752921', '84076180')
('789300965497266176', '84076180')
('62517611', '84076180')
('122110444', '84076180')
('71927237', '84076180')
('2149772444', '84076180')
('710177412387106816', '84076180')
('281774361', '84076180')
('116075606', '84076180')
('714149620331462656', '84076180')
('15415753', '84076180')
('35755287', '84076180')
('75760126', '84076180')
('395528378', '84076180')
('285194365', '84076180')
('574536371', '84076180')
('52379202', '84076180')
('781592534392987648', '84076180')
('26224910', '84076180')
('1608489145', '84076180')
('4572668141', '84076180')
('772274961675350016', '84076180')
('844660393033322498', '84076180')
('1224355981', '84076180')
('502005755', '84076180')
('60445188', '84076180')
('325652694', '84076180')
('748593804324773888', '84076180')
('830834235523158016', '84076180')
('1554721748', '84076180')
('15357211', '84076180')
('3204357622', '84076180')
('28229966', '84076180')
('345212812', '84076180')
('48046155', '84076180')
('2612197827', '84076180')
('240513733', '84076180')
('1391067283', '84076180')
('860133570777624576', '84076180')
('46809720', '84076180')
('263420231', '84076180')
('3691204695', '84076180')
('2551481553', '84076180')
('72694672', '84076180')
('853717677105442816', '84076180')
('255538464', '84076180')
('802109294405619714', '84076180')
('931302733314961408', '84076180')
('49807676', '84076180')
('834032272663859200', '84076180')
('290064287', '84076180')
('3329718377', '84076180')
('84579114', '84076180')
('195765810', '84076180')
('497307837', '84076180')
('3248766491', '84076180')
('866711585548644352', '84076180')
('2782549708', '84076180')
('249694596', '84076180')
('27730007', '84076180')
('41668827', '84076180')
('942393264325439489', '84076180')
('199746803', '84076180')
('854644662505803776', '84076180')
('4729785873', '84076180')
('127877042', '84076180')
('93006045', '84076180')
('943053635881193472', '84076180')
('295790645', '84076180')
('2990922514', '84076180')
('893655787431743488', '84076180')
('176864769', '84076180')
('723147737731076096', '84076180')
('4092846676', '84076180')
('394335434', '84076180')
('899029247276220425', '84076180')
('918161354263007232', '84076180')
('41872745', '84076180')
('873305677971816449', '84076180')
('966351738', '84076180')
('110454744', '84076180')
('59218057', '84076180')
('907341102260346880', '84076180')
('785064546281070592', '84076180')
('749456747866234880', '84076180')
('87348345', '84076180')
('61483199', '84076180')
('588026457', '84076180')
('360153362', '84076180')
('30021755', '84076180')
('1723537194', '84076180')
('133368173', '84076180')
('344276747', '84076180')
('2820915611', '84076180')
('718246826', '84076180')
('382261316', '84076180')
('28994137', '84076180')
('912898270069972992', '84076180')
('725031084921085953', '84076180')
('886779999646339077', '84076180')
('1053960368', '84076180')
('841458351389233153', '84076180')
('90183598', '84076180')
('854804359879766017', '84076180')
('152634913', '84076180')
('927356275008135168', '84076180')
('894190886833336321', '84076180')
('340561117', '84076180')
('247468404', '84076180')
('197938170', '84076180')
('145807410', '84076180')
('66205927', '84076180')
('890062191877115905', '84076180')
('294886946', '84076180')
('467772187', '84076180')
('1618179804', '84076180')
('71464354', '84076180')
('838374862624272384', '84076180')
('219495191', '84076180')
('125733329', '84076180')
('250397111', '84076180')
('1268169524', '84076180')
('185042167', '84076180')
('3309767002', '84076180')
('1629576702', '84076180')
('484190946', '84076180')
('2954041171', '84076180')
('3147898258', '84076180')
('2263275950', '84076180')
('1257973861', '84076180')
('2950350622', '84076180')
('2850756633', '84076180')
('109016196', '84076180')
('58551617', '84076180')
('3030888600', '84076180')
('163897260', '84076180')
('136679183', '84076180')
('942913716819058694', '84076180')
('58940841', '84076180')
('2796724336', '84076180')
('75354276', '84076180')
('3072139967', '84076180')
('3127753853', '84076180')
('131961998', '84076180')
('245617435', '84076180')
('243326399', '84076180')
('2882906373', '84076180')
('33507966', '84076180')
('3246727601', '84076180')
('2837771847', '84076180')
('2742104771', '84076180')
('57708206', '84076180')
('150889078', '84076180')
('293682949', '84076180')
('219852617', '84076180')
('116240118', '84076180')
('36760339', '84076180')
('915233915090108416', '84076180')
('169725807', '84076180')
('109153227', '84076180')
('831947702342713354', '84076180')
('219739064', '84076180')
('3336972946', '84076180')
('906738470', '84076180')
('837792786', '84076180')
('26884896', '84076180')
('850785651628933124', '84076180')
('249273948', '84076180')
('28342530', '84076180')
('261464823', '84076180')
('295243663', '84076180')
('368067319', '84076180')
('529523539', '84076180')
('953792068937244672', '84076180')
('16874618', '84076180')
('75158088', '84076180')
('707288368820916224', '84076180')
('4826564618', '84076180')
('2875857562', '84076180')
('809535040686354432', '84076180')
('310438311', '84076180')
('229187603', '84076180')
('2348918549', '84076180')
('808040370420543488', '84076180')
('121580510', '84076180')
('129403168', '84076180')
('3110809229', '84076180')
('2834270781', '84076180')
('169226499', '84076180')
('852653055476629504', '84076180')
('150018263', '84076180')
('129901004', '84076180')
('188863514', '84076180')
('273718866', '84076180')
('87784183', '84076180')
('943633504084033542', '84076180')
('802637067146694660', '84076180')
('904224563906662400', '84076180')
('819246389116936192', '84076180')
('770738084417773568', '84076180')
('2860523680', '84076180')
('48150648', '84076180')
('2726602666', '84076180')
('259515402', '84076180')
('26218417', '84076180')
('64035620', '84076180')
('127283945', '84076180')
('562452568', '84076180')
('181631062', '84076180')
('809796666190659584', '84076180')
('490675452', '84076180')
('338992110', '84076180')
('164941516', '84076180')
('177799660', '84076180')
('84140470', '84076180')
('920684713383165953', '84076180')
('75600293', '84076180')
('22013738', '84076180')
('2554645534', '84076180')
('947556192036978689', '84076180')
('2904396600', '84076180')
('17341716', '84076180')
('721617835349381120', '84076180')
('224109626', '84076180')
('3335216183', '84076180')
('72143280', '84076180')
('870851803558051840', '84076180')
('905798017386766336', '84076180')
('133473525', '84076180')
('787722918759374848', '84076180')
('304134850', '84076180')
('3029196743', '84076180')
('57813371', '84076180')
('85593987', '84076180')
('61066380', '84076180')
('200332715', '84076180')
('43539049', '84076180')
('14252397', '84076180')
('821558773', '84076180')
('1647851604', '84076180')
('433804301', '84076180')
('4330646799', '84076180')
('329274503', '84076180')
('39088159', '84076180')
('49368060', '84076180')
('61811445', '84076180')
('2244050788', '84076180')
('930620977054089216', '84076180')
('943595295430139911', '84076180')
('129383580', '84076180')
('95532665', '84076180')
('290323769', '84076180')
('162163133', '84076180')
('944502189535490049', '84076180')
('17474481', '84076180')
('892045436055322625', '84076180')
('15965495', '84076180')
('357097234', '84076180')
('820329512747540480', '84076180')
('4274637503', '84076180')
('111587338', '84076180')
('2565965203', '84076180')
('3092768500', '84076180')
('603799070', '84076180')
('2566275874', '84076180')
('806165951561482240', '84076180')
('844353181480108033', '84076180')
('4901962811', '84076180')
('709821014331551745', '84076180')
('74605081', '84076180')
('2993053666', '84076180')
('843204519932715009', '84076180')
('342517222', '84076180')
('705874458876186625', '84076180')
('787280839109402624', '84076180')
('197599151', '84076180')
('4208998467', '84076180')
('214252486', '84076180')
('1245913826', '84076180')
('147349751', '84076180')
('4211662528', '84076180')
('2358737020', '84076180')
('231270225', '84076180')
('843107169541246976', '84076180')
('189244094', '84076180')
('210472524', '84076180')
('703620862109425664', '84076180')
('39066132', '84076180')
('193705186', '84076180')
('2181258223', '84076180')
('2502549826', '84076180')
('38572792', '84076180')
('349187918', '84076180')
('866061218150305792', '84076180')
('18685358', '84076180')
('796348045780811776', '84076180')
('3283774255', '84076180')
('18956627', '84076180')
('223613422', '84076180')
('817672602391027712', '84076180')
('129951373', '84076180')
('312862189', '84076180')
('48792934', '84076180')
('178490026', '84076180')
('59499526', '84076180')
('3341976723', '84076180')
('364543687', '84076180')
('3254569263', '84076180')
('2890250412', '84076180')
('3239642085', '84076180')
('392229271', '84076180')
('2897877826', '84076180')
('953703759829401601', '84076180')
('789190924173664257', '84076180')
('55207359', '84076180')
('1449932976', '84076180')
('43813168', '84076180')
('4369675696', '84076180')
('518689844', '84076180')
('3435920373', '84076180')
('2469781496', '84076180')
('70475365', '84076180')
('929097406507036672', '84076180')
('899284389921738752', '84076180')
('276767103', '84076180')
('4012294648', '84076180')
('3215201505', '84076180')
('3401736287', '84076180')
('714950307789320192', '84076180')
('52490830', '84076180')
('92246351', '84076180')
('216925725', '84076180')
('242774078', '84076180')
('386886956', '84076180')
('4802647035', '84076180')
('67478213', '84076180')
('3662137997', '84076180')
('2587083980', '84076180')
('925807068631662593', '84076180')
('112732130', '84076180')
('260486472', '84076180')
('2843111739', '84076180')
('186041569', '84076180')
('2154760794', '84076180')
('185866945', '84076180')
('16726489', '84076180')
('228577853', '84076180')
('74148491', '84076180')
('122449640', '84076180')
('265501099', '84076180')
('4145610435', '84076180')
('53469113', '84076180')
('353936060', '84076180')
('790195166208458753', '84076180')
('2992649441', '84076180')
('37229237', '84076180')
('3003018478', '84076180')
('381286275', '84076180')
('53775880', '84076180')
('155674026', '84076180')
('874792930460016641', '84076180')
('69408502', '84076180')
('19021873', '84076180')
('496146189', '84076180')
('1142492984', '84076180')
('91138953', '84076180')
('2614608337', '84076180')
('2207478606', '84076180')
('87269938', '84076180')
('47011988', '84076180')
('52387489', '84076180')
('895024854583345152', '84076180')
('819951451', '84076180')
('71847221', '84076180')
('735924051055681536', '84076180')
('115517005', '84076180')
('2149134356', '84076180')
('498410570', '84076180')
('55822954', '84076180')
('1646449488', '84076180')
('3409520199', '84076180')
('863512571017560066', '84076180')
('41138557', '84076180')
('71115912', '84076180')
('478976517', '84076180')
('911636703672242176', '84076180')
('2781563384', '84076180')
('296275804', '84076180')
('724005330334695424', '84076180')
('22099605', '84076180')
('990053851', '84076180')
('2464988505', '84076180')
('365780957', '84076180')
('899760914253131777', '84076180')
('1575949711', '84076180')
('412755498', '84076180')
('2271834116', '84076180')
('824660778267598848', '84076180')
('343111222', '84076180')
('591979315', '84076180')
('179393698', '84076180')
('333416310', '84076180')
('107560691', '84076180')
('843052508918562816', '84076180')
('306405876', '84076180')
('92362406', '84076180')
('160598802', '84076180')
('758695354749612032', '84076180')
('716752235166834688', '84076180')
('220504707', '84076180')
('2738187983', '84076180')
('69448330', '84076180')
('76515271', '84076180')
('37371074', '84076180')
('131756203', '84076180')
('830836403177189376', '84076180')
('23713707', '84076180')
('1598948089', '84076180')
('16872336', '84076180')
('833670609959804928', '84076180')
('133413241', '84076180')
('324907911', '84076180')
('53578371', '84076180')
('886710556186603520', '84076180')
('2620370507', '84076180')
('232403262', '84076180')
('23982468', '84076180')
('3048891053', '84076180')
('879190202979414017', '84076180')
('711738444662312960', '84076180')
('54190869', '84076180')
('198954171', '84076180')
('27079348', '84076180')
('4264776255', '84076180')
('796937977', '84076180')
('422587718', '84076180')
('926080343777607681', '84076180')
('335538237', '84076180')
('2215085171', '84076180')
('44876359', '84076180')
('846886543818194945', '84076180')
('708099366163226624', '84076180')
('3286338832', '84076180')
('119295989', '84076180')
('928343498', '84076180')
('211196025', '84076180')
('926605162105507842', '84076180')
('3763313416', '84076180')
('583101433', '84076180')
('2470439835', '84076180')
('2816048154', '84076180')
('2305528058', '84076180')
('745397716394610688', '84076180')
('56007762', '84076180')
('2890912313', '84076180')
('54209603', '84076180')
('3413574527', '84076180')
('73540679', '84076180')
('302704954', '84076180')
('893633007965351937', '84076180')
('171281454', '84076180')
('914251563727818752', '84076180')
('2344188157', '84076180')
('2843894693', '84076180')
('261362216', '84076180')
('156424623', '84076180')
('266231426', '84076180')
('1185912751', '84076180')
('73776357', '84076180')
('2533053796', '84076180')
('724629452316094464', '84076180')
('69995452', '84076180')
('257011156', '84076180')
('775645748876705792', '84076180')
('911513869742411777', '84076180')
('732424289769529344', '84076180')
('330633183', '84076180')
('50387310', '84076180')
('2281110529', '84076180')
('2636298093', '84076180')
('211295496', '84076180')
('913827395249086464', '84076180')
('38671976', '84076180')
('393748758', '84076180')
('733395224467116032', '84076180')
('133938717', '84076180')
('44258331', '84076180')
('1114117908', '84076180')
('177654213', '84076180')
('127301428', '84076180')
('838035972952567809', '84076180')
('451750996', '84076180')
('2712692609', '84076180')
('237896750', '84076180')
('104361436', '84076180')
('141330747', '84076180')
('718915180340649984', '84076180')
('2347838744', '84076180')
('1643750532', '84076180')
('4859199261', '84076180')
('161277996', '84076180')
('46248401', '84076180')
('728564742747521024', '84076180')
('4687374032', '84076180')
('39073332', '84076180')
('38373374', '84076180')
('145239926', '84076180')
('258529919', '84076180')
('858741367136288768', '84076180')
('826556457810268161', '84076180')
('2996034431', '84076180')
('722220249773432832', '84076180')
('33571937', '84076180')
('917569655006474246', '84076180')
('722958837288828928', '84076180')
('2480836789', '84076180')
('917025974281175040', '84076180')
('2377137219', '84076180')
('718272972851646464', '84076180')
('384546792', '84076180')
('862475554431356928', '84076180')
('188910489', '84076180')
('2614299728', '84076180')
('1169625086', '84076180')
('519883883', '84076180')
('33957501', '84076180')
('61502217', '84076180')
('1932485498', '84076180')
('162502867', '84076180')
('2702507592', '84076180')
('92868205', '84076180')
('197290978', '84076180')
('36401782', '84076180')
('3077007865', '84076180')
('2415828224', '84076180')
('2754770864', '84076180')
('800576064825085952', '84076180')
('446966708', '84076180')
('720808012227723264', '84076180')
('201853983', '84076180')
('416505682', '84076180')
('89206522', '84076180')
('3044770409', '84076180')
('2504521430', '84076180')
('172871556', '84076180')
('2481603358', '84076180')
('847874498', '84076180')
('127659901', '84076180')
('52070434', '84076180')
('447121908', '84076180')
('63788650', '84076180')
('125518705', '84076180')
('259924656', '84076180')
('16283876', '84076180')
('3592661849', '84076180')
('2504889857', '84076180')
('32523674', '84076180')
('196773129', '84076180')
('2986890586', '84076180')
('721681222691393537', '84076180')
('1110208027', '84076180')
('42927082', '84076180')
('2365699398', '84076180')
('730913142021234688', '84076180')
('53347469', '84076180')
('2711498440', '84076180')
('2708574394', '84076180')
('305296067', '84076180')
('106799868', '84076180')
('81710359', '84076180')
('223318207', '84076180')
('58246122', '84076180')
('186155329', '84076180')
('137910603', '84076180')
('113208604', '84076180')
('2306446488', '84076180')
('848379807977148420', '84076180')
('401553884', '84076180')
('43632443', '84076180')
('2750584459', '84076180')
('66146040', '84076180')
('23619082', '84076180')
('2203351764', '84076180')
('2575310246', '84076180')
('127305155', '84076180')
('19155430', '84076180')
('832924746610274306', '84076180')
('2884997445', '84076180')
('3392398271', '84076180')
('2906645879', '84076180')
('822639635717390337', '84076180')
('2901698434', '84076180')
('16907384', '84076180')
('56355802', '84076180')
('705382372179578880', '84076180')
('824662715184582657', '84076180')
('866703515888046081', '84076180')
('831725940531146752', '84076180')
('759076409063182336', '84076180')
('136360864', '84076180')
('1689783702', '84076180')
('703291858', '84076180')
('507715353', '84076180')
('37339267', '84076180')
('64708526', '84076180')
('52416613', '84076180')
('953109159590924288', '84076180')
('45884510', '84076180')
('4483378769', '84076180')
('348805223', '84076180')
('24972070', '84076180')
('593892414', '84076180')
('2596678220', '84076180')
('44798708', '84076180')
('750311414', '84076180')
('704817349195657216', '84076180')
('787169540', '84076180')
('271084509', '84076180')
('2984920854', '84076180')
('195577917', '84076180')
('118185623', '84076180')
('395331526', '84076180')
('3577017087', '84076180')
('790957482491478016', '84076180')
('4241194221', '84076180')
('77767107', '84076180')
('827435941627310081', '84076180')
('414813596', '84076180')
('3912557056', '84076180')
('50901050', '84076180')
('418343995', '84076180')
('496651593', '84076180')
('328772739', '84076180')
('142394571', '84076180')
('479742960', '84076180')
('2364602293', '84076180')
('82989075', '84076180')
('56944232', '84076180')
('787048912687403009', '84076180')
('124585913', '84076180')
('296516462', '84076180')
('3000800969', '84076180')
('3433184111', '84076180')
('240877701', '84076180')
('142402320', '84076180')
('819066881239719936', '84076180')
('3391248071', '84076180')
('482331563', '84076180')
('34707168', '84076180')
('829528470527045633', '84076180')
('62449638', '84076180')
('45574204', '84076180')
('212254136', '84076180')
('932097641923710976', '84076180')
('1861356734', '84076180')
('720039424076161024', '84076180')
('3905343561', '84076180')
('822514722583052289', '84076180')
('922614839574519808', '84076180')
('923905837642510338', '84076180')
('22407236', '84076180')
('131211142', '84076180')
('173487908', '84076180')
('272643601', '84076180')
('723582694857256960', '84076180')
('48706334', '84076180')
('17032762', '84076180')
('393309814', '84076180')
('2194840093', '84076180')
('2478540829', '84076180')
('1157035856', '84076180')
('49412429', '84076180')
('196742232', '84076180')
('804043303507361792', '84076180')
('53716625', '84076180')
('422175770', '84076180')
('2778817262', '84076180')
('58658431', '84076180')
('136835534', '84076180')
('75012431', '84076180')
('2722167879', '84076180')
('892864747246415872', '84076180')
('39555872', '84076180')
('334376219', '84076180')
('894815446838509571', '84076180')
('285941178', '84076180')
('350242543', '84076180')
('57852589', '84076180')
('100634878', '84076180')
('331017066', '84076180')
('305200613', '84076180')
('1372920818', '84076180')
('886384138642743296', '84076180')
('2462725642', '84076180')
('86498960', '84076180')
('2156858102', '84076180')
('4497593338', '84076180')
('2290006299', '84076180')
('38872563', '84076180')
('567287640', '84076180')
('221185593', '84076180')
('3092068553', '84076180')
('878251351611977728', '84076180')
('48762891', '84076180')
('61855647', '84076180')
('36420245', '84076180')
('2750493741', '84076180')
('167949039', '84076180')
('2786513141', '84076180')
('98524793', '84076180')
('399755919', '84076180')
('2543108818', '84076180')
('266861485', '84076180')
('48526385', '84076180')
('2974942933', '84076180')
('90739439', '84076180')
('2282573796', '84076180')
('874250204', '84076180')
('2717432539', '84076180')
('628908509', '84076180')
('56722975', '84076180')
('3438754535', '84076180')
('265350311', '84076180')
('321045396', '84076180')
('617516025', '84076180')
('2999530600', '84076180')
('52774646', '84076180')
('870602433445212161', '84076180')
('776197886551822336', '84076180')
('268859460', '84076180')
('100099494', '84076180')
('933731711816470528', '84076180')
('91989624', '84076180')
('447242115', '84076180')
('838771372872564737', '84076180')
('755864399848546304', '84076180')
('357647867', '84076180')
('2228323773', '84076180')
('707687910565388289', '84076180')
('61780767', '84076180')
('149167771', '84076180')
('932666267080843265', '84076180')
('35905993', '84076180')
('776858772841046016', '84076180')
('3373958909', '84076180')
('482529958', '84076180')
('511041808', '84076180')
('21663897', '84076180')
('3290584239', '84076180')
('3398039926', '84076180')
('2607256217', '84076180')
('165988364', '84076180')
('54489049', '84076180')
('391714169', '84076180')
('870358718', '84076180')
('176859552', '84076180')
('397312095', '84076180')
('829010345888980993', '84076180')
('123097761', '84076180')
('766034887832928256', '84076180')
('65062870', '84076180')
('836054913583050754', '84076180')
('772611782707908608', '84076180')
('381660275', '84076180')
('38645813', '84076180')
('2831584084', '84076180')
('776155187387985921', '84076180')
('806663513448005640', '84076180')
('169652276', '84076180')
('1527684900', '84076180')
('2911277351', '84076180')
('875796212561190914', '84076180')
('2454024648', '84076180')
('2976190647', '84076180')
('53549852', '84076180')
('92780914', '84076180')
('53755264', '84076180')
('33816070', '84076180')
('13471382', '84076180')
('1377408002', '84076180')
('220813528', '84076180')
('51367309', '84076180')
('129500171', '84076180')
('115664290', '84076180')
('237858950', '84076180')
('1370980520', '84076180')
('17367394', '84076180')
('36965101', '84076180')
('149102598', '84076180')
('61210922', '84076180')
('115540408', '84076180')
('921205939436425216', '84076180')
('2223402358', '84076180')
('547742598', '84076180')
('333749967', '84076180')
('884852103868493824', '84076180')
('862106745895870465', '84076180')
('1424714929', '84076180')
('887380957191426049', '84076180')
('62036735', '84076180')
('2942791912', '84076180')
('846083814929711107', '84076180')
('163135278', '84076180')
('334893906', '84076180')
('3008810344', '84076180')
('38014381', '84076180')
('2776418595', '84076180')
('922628947485093888', '84076180')
('190050260', '84076180')
('33495161', '84076180')
