Id,Label,timeset,indegree,outdegree,degree
796126488194072576,,,0,5,5
2539823338,,,0,1,1
2424430783,,,0,1,1
966646106,,,0,2,2
342665196,,,0,1,1
2948632835,,,0,2,2
81240371,,,0,1,1
526087222,,,0,1,1
807325864035831808,,,0,1,1
2986183587,,,0,2,2
53034224,,,0,1,1
3010231996,,,0,1,1
2858973110,,,0,8,8
370918242,,,0,8,8
926373361,,,0,1,1
3090135133,,,0,2,2
1246103509,,,0,1,1
451747518,,,0,1,1
2460547627,,,0,1,1
810594005247528960,,,0,2,2
879839593729843200,,,0,1,1
899799498733608961,,,0,1,1
4636257634,,,0,1,1
544624860,,,0,2,2
230835298,,,0,1,1
117699834,,,0,1,1
3377856581,,,0,1,1
2914130019,,,0,2,2
4443670642,,,0,1,1
331573511,,,0,2,2
74763991,,,211,2,213
721450977912602624,,,0,3,3
130050505,,,0,1,1
2358072368,,,0,1,1
495446860,,,0,1,1
1092324535,,,0,1,1
2298459674,,,0,2,2
2815517130,,,0,3,3
919403260888469505,,,0,1,1
3421124187,,,0,1,1
1529264076,,,0,2,2
607376683,,,0,2,2
3290460795,,,0,1,1
1029880592,,,0,4,4
908443768621289472,,,0,1,1
170026357,,,0,1,1
474152960,,,0,2,2
788163420306767872,,,0,2,2
772327592,,,0,2,2
837479820,,,0,1,1
2199693126,,,0,1,1
2246657387,,,0,1,1
1373376440,,,0,1,1
2614740666,,,0,1,1
815281266165739521,,,0,8,8
186575146,,,0,1,1
746176332522979328,,,0,1,1
795807771350487040,,,0,1,1
153542781,,,0,4,4
4188766288,,,0,2,2
105621372,,,0,2,2
37511450,,,0,1,1
2822597898,,,0,1,1
369679790,,,0,1,1
783814330307514368,,,0,1,1
875371526882816001,,,0,3,3
1033483393,,,0,1,1
404842457,,,0,2,2
42951303,,,0,2,2
285583244,,,0,1,1
279634303,,,0,1,1
4911262019,,,0,2,2
2535888716,,,0,3,3
1129676371,,,0,1,1
157428804,,,0,1,1
21209312,,,0,1,1
748202305489633281,,,0,1,1
3379096420,,,0,4,4
75278752,,,0,4,4
2272037939,,,0,4,4
820761337076862976,,,0,2,2
702044389,,,0,1,1
59663561,,,0,1,1
882439229321732096,,,0,1,1
3635601856,,,0,1,1
3015445917,,,0,1,1
396760883,,,0,1,1
2654676672,,,0,1,1
2735200750,,,0,1,1
3221189031,,,0,1,1
43778700,,,0,2,2
1592146554,,,0,2,2
729187902517825537,,,0,1,1
137861340,,,0,1,1
3430616188,,,0,1,1
348187113,,,0,1,1
829912875535855617,,,0,2,2
389779324,,,0,2,2
2245581762,,,0,1,1
23803190,,,0,1,1
144675710,,,0,1,1
1682049414,,,0,2,2
44230739,,,0,1,1
806879707283292161,,,0,1,1
2893030209,,,0,1,1
764925936949223428,,,0,1,1
2916642939,,,0,1,1
614440526,,,0,1,1
927514414911238145,,,0,1,1
770182639,,,0,1,1
835977053652537345,,,0,1,1
4838280136,,,0,1,1
3418793555,,,0,2,2
3392335222,,,0,2,2
4870567467,,,0,1,1
3391258174,,,0,2,2
2584143892,,,0,1,1
3390980973,,,0,1,1
173632645,,,0,4,4
223570038,,,0,1,1
419631680,,,0,1,1
3403432547,,,0,3,3
247833074,,,0,1,1
92730976,,,0,1,1
82004979,,,0,1,1
55899045,,,0,1,1
1357989314,,,0,1,1
366763625,,,0,2,2
79564983,,,0,1,1
139460045,,,0,2,2
232966861,,,0,1,1
1609434289,,,0,1,1
564747999,,,0,4,4
818519443,,,0,1,1
851623047194963970,,,0,2,2
214940576,,,0,4,4
134244844,,,0,1,1
224079511,,,0,1,1
859082976243716097,,,0,1,1
3419171524,,,0,1,1
278286861,,,0,2,2
3050185733,,,0,2,2
858803472354996225,,,0,1,1
66054643,,,0,1,1
3917676498,,,0,1,1
47159762,,,0,2,2
1343328979,,,0,5,5
3022766583,,,0,1,1
738484040882343941,,,0,1,1
409580986,,,0,1,1
885661228403748865,,,0,1,1
797076858,,,0,1,1
4027776280,,,0,1,1
2169364866,,,0,1,1
3377941979,,,0,1,1
812149676950638592,,,0,1,1
438769588,,,0,1,1
3665849195,,,0,1,1
2847641433,,,0,1,1
41334332,,,4,3,7
417785565,,,0,1,1
4615581436,,,0,3,3
151497950,,,0,5,5
