source,target
97918224,724991849912500224
27800839,149497199
601204499,2474471474
884921137934860288,744225149017284608
59026317,62501888
719388270384308224,703811983
719388270384308224,2670726740
719388270384308224,209780362
936048005769293825,50038380
86543956,3090382647
131370402,312923505
38658646,759060135763410944
2873088335,366221788
716797403920261121,775474080715767808
716797403920261121,775474080715767808
4260177557,150884948
158105787,724991849912500224
4591129641,134910253
46553495,62501888
1078690142,50924821
2624356467,312923505
2624356467,724991849912500224
724773661,312923505
3230672518,796180188946112512
2794286952,4529320173
861340822264061952,2914681581
1876586004,519497576
59787383,2939010754
2173817795,39522911
4838466041,4871071691
846455246427770881,62501888
336859114,724991849912500224
331139151,45473463
331139151,2670726740
440967655,833907972
440967655,2670726740
2837373958,1197039757
1924929906,4707533116
1693650776,724991849912500224
121669823,4707533116
947154382726094850,2939010754
235343188,2939010754
877884232722501632,134910253
910991100575395840,221379343
2205950088,2939010754
859115828746358784,178738217
877884232722501632,361495653
877884232722501632,2670726740
853016977694216193,2670726740
168234074,2670726740
2251900600,312923505
59787383,148339735
4589176468,724991849912500224
170898709,4529320173
298226698,146541122
298226698,33329370
298226698,2216965290
298226698,749701017604857857
298226698,364912028
298226698,2222085444
298226698,52834620
298226698,709050021442936833
191175498,4529320173
714582936188805120,714582936188805120
887049016453857282,724991849912500224
2548819607,796180188946112512
901960652775985152,4529320173
409703697,4529320173
40521034,169761269
2842963060,146541122
2842963060,146541122
1458246122,4529320173
70429813,75031882
1431189150,150884948
2327817091,150884948
703788898347048961,4529320173
591306165,724991849912500224
2251900600,148339735
323869833,41650084
237231926,148339735
323869833,50038380
389787690,33374761
230558044,62501888
167075969,75031882
323869833,41650084
438771141,30857469
438771141,2670726740
323869833,41650084
2504623969,62501888
458251319,14754376
2996779787,796180188946112512
952518892299145217,796180188946112512
474363558,796180188946112512
2704753244,148339735
330967960,796180188946112512
4863668801,198883031
38275830,61617112
38275830,75031882
38275830,39522911
38275830,248773805
38275830,54790300
38275830,35747858
38275830,117722784
38275830,158108858
932306008860495873,833907972
932306008860495873,2670726740
82274894,796180188946112512
20465976,31139434
319179786,195400655
360379290,4529320173
2727432991,724991849912500224
208010061,61617112
208010061,75031882
208010061,39522911
208010061,248773805
208010061,54790300
208010061,35747858
208010061,117722784
208010061,158108858
727202831766265857,716797403920261121
727202831766265857,775474080715767808
727202831766265857,724991849912500224
2592594489,39116717
4808551714,4529320173
131197124,62501888
3352846438,724991849912500224
4153515377,724991849912500224
848317269134290947,62501888
230902614,3090382647
3421061763,111123176
3421061763,1540034828
1921185799,134910253
709941414830993409,716797403920261121
2632787063,62501888
395011753,62501888
62501888,2670726740
758081734126764032,148339735
84181284,86313813
899326212916596739,150884948
2513077774,796180188946112512
4610046136,4529320173
794824418,4529320173
1141262652,134910253
457023568,724991849912500224
1558640634,804691272871067648
1558640634,2670726740
937310935366230016,2458532132
308756576,724991849912500224
217489704,4529320173
275204537,4707533116
358483322,62501888
396899310,150884948
396899310,527663666
868550704675381248,2670726740
868550704675381248,850717135378710528
868550704675381248,868550704675381248
62501888,2670726740
403074305,148339735
937062521462296577,724991849912500224
230558044,2665976977
1081917078,134910253
794824418,134910253
716797403920261121,775474080715767808
144610174,833907972
144610174,2670726740
2428392746,2670726740
794824418,4529320173
716797403920261121,195400655
165184167,104492666
878363713,527663666
2375026058,4529320173
173856215,626725650
754472967363502081,150884948
878363713,830220476739940357
364304602,4529320173
104495655,626725650
829387147983646720,4529320173
165232837,1367781954
4828187924,134910253
2871409636,150884948
1976332194,4871071691
3252181216,724991849912500224
591167645,626725650
925516383651356673,134910253
3087862709,796180188946112512
499101287,4529320173
196878260,312923505
925516383651356673,724991849912500224
174831487,134910253
925516383651356673,4529320173
761404798411366400,796180188946112512
218155977,111948417
80548664,2670726740
708648859581476864,150884948
170827293,4529320173
170827293,195400655
831612278042742784,198883031
3145222787,158837648
1659312110,860828689
897437167487680513,2896612757
1185877482,62501888
796396561743941633,30857469
796396561743941633,2670726740
740308175535116292,4529320173
3099190497,724991849912500224
252016342,212297066
252016342,2670726740
808131444191232000,68313718
376193773,796180188946112512
382582233,134910253
876928055100526592,804691272871067648
876928055100526592,2670726740
134499526,724991849912500224
250621136,134910253
1258140408,4529320173
3133202209,214570761
3133202209,18219976
3056596965,804691272871067648
3056596965,2670726740
3133202209,18219976
804691272871067648,804691272871067648
804691272871067648,2670726740
804691272871067648,2670726740
937331076002930688,150884948
770756809334325248,833907972
770756809334325248,2670726740
3133202209,18219976
1714075339,796180188946112512
1093465494,41710090
1093465494,869741266610860032
124960816,714582936188805120
1431189150,4529320173
4710965062,4529320173
383948382,134910253
310366272,2174933335
736374181210816516,849063734605742080
59483525,63127680
86543956,304092926
29966270,271632860
4318644994,134910253
438544296,4529320173
179897596,741382796489396225
916158884271796224,148339735
923293047990968320,4529320173
226614565,871866080
74994159,158837648
282677674,312923505
367350153,796180188946112512
3376550308,796180188946112512
1093882164,150884948
4043257095,4529320173
4830229167,2896612757
1624049390,4530312995
1608345426,150884948
4691042239,527663666
322781647,1540034828
138929943,210935992
138929943,2670726740
138929943,2670726740
925592059146391552,4707533116
885549921302138880,158837648
779901232114700288,39522911
86543956,718644673405960192
1093465494,4550182613
833907972,134910253
170498695,81135963
108219334,150884948
170498695,81135963
899778699758895105,2670726740
899778699758895105,25858078
3817965622,796180188946112512
170498695,81135963
784784314617692161,1540034828
784784314617692161,163625762
39653136,796180188946112512
950957247164755968,724991849912500224
137165486,268447935
137165486,2670726740
744703980719190016,150884948
842060825418424326,2174933335
2661690406,45473463
2661690406,2670726740
69031017,158837648
3311072896,4529320173
938406881017688065,30857469
938406881017688065,2670726740
213342429,4529320173
711243985,150884948
4748257396,198883031
839244108040372226,724991849912500224
401549800,796180188946112512
921076542972874752,4827906226
3634008855,870366878102941697
69031017,39355511
907602732906946561,29099619
100642054,76049312
797858908215840770,2670726740
799512161177452544,84181284
2733490341,4529320173
2500762786,312923505
2724026735,4529320173
2500762786,4529320173
107723165,868237270435999746
932058905798168576,527663666
722646671662923776,4529320173
3402023547,724991849912500224
3402023547,4529320173
1553916055,724991849912500224
951138253071179777,796180188946112512
1236948386,84181284
186900540,4707533116
2733490341,2896612757
284972761,134910253
4318644994,4529320173
813942331489603584,796180188946112512
347505995,724991849912500224
976999759,73995962
1553916055,312923505
148339735,178738217
1861845169,4529320173
370993465,436827449
1723003434,4529320173
836364132412698625,2896612757
78091447,150884948
565823615,796180188946112512
916158884271796224,198883031
632385335,1540034828
2326132081,2670726740
305029444,2896612757
626725650,2670726740
4830229167,148339735
2504592471,796180188946112512
834247778,62501888
785080362,30857469
785080362,2670726740
148339735,2896612757
816078312523071488,3374198391
331919367,150619821
77420630,983834520
77420630,2670726740
408328274,796180188946112512
370953482,519497576
148339735,2174933335
1789838348,150884948
535633686,2670726740
1592273498,134910253
1553916055,312923505
1290206658,527663666
823194031278739456,796180188946112512
172809723,312923505
724397530583314432,156729610
915323014690037762,137748012
3385687450,724991849912500224
966720121,29099619
736558270723293184,796180188946112512
1553916055,134910253
209778655,29099619
3077578797,198883031
915323014690037762,717442336238780416
324208281,142364808
163655294,39355511
1236948386,158837648
3323590083,87021796
785107380,527663666
2760398831,62501888
859896935884480513,312923505
206702572,2670726740
370953482,312923505
2559502586,626725650
1624049390,178738217
151584335,796180188946112512
178558693,4529320173
4830229167,4871071691
4830229167,436827449
2559502586,796180188946112512
111608385,150884948
368586460,25562342
954405626951684096,796180188946112512
859896935884480513,724991849912500224
780371988,137748012
200894015,860828689
141940558,62902198
1723003434,198883031
90773706,66742665
417175766,3374198391
141940558,50521586
727652336022261760,83854621
2559502586,11542482
141940558,62902198
417175766,436827449
711892755904110592,366221788
966720121,142364808
932058905798168576,312923505
713439511846522880,312923505
344055701,724991849912500224
215047402,150884948
1624049390,361495653
1624049390,2670726740
1967747706,210935992
1967747706,2670726740
1967747706,2670726740
