Source,Target,Type,Id,Label
859896935884480513,724991849912500224,Directed,2571,
344055701,724991849912500224,Directed,2586,
3080277849,724991849912500224,Directed,2596,
3930961283,724991849912500224,Directed,2687,
4570874421,724991849912500224,Directed,2698,
904110944485351424,724991849912500224,Directed,2727,
792457828032217089,724991849912500224,Directed,2763,
4270874422,724991849912500224,Directed,2790,
305029444,724991849912500224,Directed,2812,
456184752,724991849912500224,Directed,2833,
729085823895789568,724991849912500224,Directed,2850,
3368326677,724991849912500224,Directed,2855,
4588868777,724991849912500224,Directed,2859,
804815344422551552,724991849912500224,Directed,2861,
420938017,724991849912500224,Directed,2874,
272227257,724991849912500224,Directed,2910,
2990206665,724991849912500224,Directed,2911,
880075561619660800,724991849912500224,Directed,2917,
225489831,724991849912500224,Directed,2931,
778388845989597185,724991849912500224,Directed,2950,
776494649712271360,724991849912500224,Directed,2953,
33076490,724991849912500224,Directed,2970,
714255642291265536,724991849912500224,Directed,2983,
331272179,724991849912500224,Directed,2985,
4195171642,724991849912500224,Directed,3009,
2838925913,724991849912500224,Directed,3011,
557139629,724991849912500224,Directed,3034,
834408480995942400,724991849912500224,Directed,3068,
901285877200171009,724991849912500224,Directed,3073,
1697778403,724991849912500224,Directed,3079,
781821697171263488,724991849912500224,Directed,3081,
4028708099,724991849912500224,Directed,3091,
823565129711284224,724991849912500224,Directed,3105,
925460900957622273,724991849912500224,Directed,3112,
701056104978128896,724991849912500224,Directed,3115,
835198346604261377,724991849912500224,Directed,3121,
256087514,724991849912500224,Directed,3138,
383473483,724991849912500224,Directed,3141,
884193798783479808,724991849912500224,Directed,3144,
941069487868129281,724991849912500224,Directed,3164,
470437969,724991849912500224,Directed,3166,
259921962,724991849912500224,Directed,3176,
3708726675,724991849912500224,Directed,3181,
117382601,724991849912500224,Directed,3182,
132396861,724991849912500224,Directed,3196,
199807745,724991849912500224,Directed,3199,
754239924770107392,724991849912500224,Directed,3200,
1277999094,724991849912500224,Directed,3213,
156213282,724991849912500224,Directed,3215,
3181289477,724991849912500224,Directed,3219,
1210013696,724991849912500224,Directed,3220,
2278210369,724991849912500224,Directed,3227,
4601569703,724991849912500224,Directed,3233,
