Source,Target,Type,Id
38960783,796180188946112512,Directed,2603
1660555627,796180188946112512,Directed,2618
954393819495137280,796180188946112512,Directed,2631
637149037,796180188946112512,Directed,2637
200731701,796180188946112512,Directed,2656
952356764,796180188946112512,Directed,2669
122781291,796180188946112512,Directed,2681
320929236,796180188946112512,Directed,2683
3307544067,796180188946112512,Directed,2694
378896460,796180188946112512,Directed,2718
81448760,796180188946112512,Directed,2728
1708119518,796180188946112512,Directed,2733
2852557295,796180188946112512,Directed,2755
927529662955311104,796180188946112512,Directed,2759
57174123,796180188946112512,Directed,2768
756530855422615552,796180188946112512,Directed,2775
780371988,796180188946112512,Directed,2779
991656648,796180188946112512,Directed,2796
1945437912,796180188946112512,Directed,2797
20196071,796180188946112512,Directed,2801
4307159673,796180188946112512,Directed,2803
714582936188805120,796180188946112512,Directed,2806
346135127,796180188946112512,Directed,2813
170416855,796180188946112512,Directed,2822
923303766824312832,796180188946112512,Directed,2829
830052063891558400,796180188946112512,Directed,2830
228387414,796180188946112512,Directed,2832
763390972583641088,796180188946112512,Directed,2843
703818482731712513,796180188946112512,Directed,2848
2570140446,796180188946112512,Directed,2858
392792096,796180188946112512,Directed,2860
858121624943513601,796180188946112512,Directed,2866
60881028,796180188946112512,Directed,2870
712749456085671938,796180188946112512,Directed,2881
852282244076937216,796180188946112512,Directed,2886
76487789,796180188946112512,Directed,2890
1378217168,796180188946112512,Directed,2891
129823990,796180188946112512,Directed,2895
46491067,796180188946112512,Directed,2896
2182359842,796180188946112512,Directed,2899
4475774841,796180188946112512,Directed,2908
119110532,796180188946112512,Directed,2913
147220412,796180188946112512,Directed,2918
4758564017,796180188946112512,Directed,2921
35672201,796180188946112512,Directed,2927
448479531,796180188946112512,Directed,2933
847844733410041856,796180188946112512,Directed,2935
913898128146870272,796180188946112512,Directed,2940
228552288,796180188946112512,Directed,2957
1609079756,796180188946112512,Directed,2965
4585134615,796180188946112512,Directed,2967
1323071690,796180188946112512,Directed,2975
445194692,796180188946112512,Directed,2977
122466378,796180188946112512,Directed,2992
3171823721,796180188946112512,Directed,2999
930055245497028609,796180188946112512,Directed,3002
383995281,796180188946112512,Directed,3006
162855032,796180188946112512,Directed,3014
804431579737165824,796180188946112512,Directed,3015
620200058,796180188946112512,Directed,3018
51136335,796180188946112512,Directed,3019
811613413365469184,796180188946112512,Directed,3021
81963594,796180188946112512,Directed,3028
3051666545,796180188946112512,Directed,3030
168765255,796180188946112512,Directed,3032
894705957292343296,796180188946112512,Directed,3045
1075202977,796180188946112512,Directed,3046
3830804962,796180188946112512,Directed,3051
350729407,796180188946112512,Directed,3055
951972803724677120,796180188946112512,Directed,3057
3003476044,796180188946112512,Directed,3062
953123571047522304,796180188946112512,Directed,3064
453331799,796180188946112512,Directed,3085
160715140,796180188946112512,Directed,3087
25079165,796180188946112512,Directed,3103
807888243454840832,796180188946112512,Directed,3104
2993074306,796180188946112512,Directed,3108
903005463209545731,796180188946112512,Directed,3124
4483779586,796180188946112512,Directed,3127
2670569101,796180188946112512,Directed,3128
3343628122,796180188946112512,Directed,3134
2648360758,796180188946112512,Directed,3139
3493407857,796180188946112512,Directed,3146
1918576363,796180188946112512,Directed,3153
1337390754,796180188946112512,Directed,3155
2469415756,796180188946112512,Directed,3160
169334492,796180188946112512,Directed,3162
2329727725,796180188946112512,Directed,3168
706680291537117185,796180188946112512,Directed,3172
3739898001,796180188946112512,Directed,3178
