source	target
766034887832928256	1702757066
793654777922084864	949146687058030592
263420231	2157102134
2954874089	42193486
2755339048	714971892109742080
751889081135689728	15249841
2803752921	871133532810125312
320925080	84076180
737067976755712000	None
3358840919	None
135464164	15249841
414314383	745467130540232704
941738812119580673	204485184
826594998246371331	313016199
53248359	949146687058030592
49064653	871133532810125312
832916035045117952	872559833421053952
513519219	None
2736035293	None
914967614551658496	124354625
2882418341	None
419885503	178307421
779185087	772245392817881094
3591731355	204485184
263420231	871133532810125312
149629501	855456773070872576
838225396617330688	None
414314383	989053890
156846206	None
1653636324	3035584828
255455398	774592682144464896
2474308904	949146687058030592
197488336	313016199
101255538	871133532810125312
779185087	871133532810125312
322768220	774592682144464896
204417213	871133532810125312
36517815	None
956228568673148928	None
71552887	46730598
353404980	None
2571656740	None
368067319	124142187
243166389	None
2305505519	949146687058030592
2923560940	57059339
56137447	774592682144464896
38133521	None
909776335974862849	None
2996832729	37499660
49828116	62052765
3379486511	94199538
33435237	871133532810125312
378171700	774592682144464896
3655438942	None
49631017	65473559
4583189188	None
101255538	449863488
741722200168751104	123710016
3824585836	764606346918518784
3100590940	2407454725
2996832729	57059339
79331709	None
620650049	328691962
473720831	84076180
2302380767	949146687058030592
255817372	None
115689203	2257104493
1375239859	2943093201
280803190	855456773070872576
117554009	94199538
835678458269282305	55851018
61547706	None
892045436055322625	871133532810125312
41842998	None
2534165523	328691962
855130897531752449	2923397967
914967614551658496	123710016
3045124835	57059339
899999419558440961	714971892109742080
228577853	871133532810125312
1554592315	749935955927265280
323766721	84076180
2786316953	None
3347301916	880525171664310272
33435237	83001152
240920590	113029811
182561268	989053890
320925080	124142187
827478257197076481	None
725523958146174977	2923397967
555290074	None
2662775126	59771262
830834235523158016	57059339
789894665055170561	None
3105419708	113029811
843652881559568384	774592682144464896
857935972302020608	871133532810125312
2954874089	855456773070872576
384901069	725009739688587269
182118000	871133532810125312
870636099311415296	None
414314383	2943093201
2726785799	94199538
1161332048	255688484
840564160735903744	953703759829401601
33435237	83001152
909776335974862849	None
955061042085875712	None
152865383	None
847024596918423553	None
320925080	3077007865
1514621749	160085415
384901069	865648073283846144
58086992	735723034347069440
840712063785795585	None
892045436055322625	None
928353071784177664	37723058
1476401210	871133532810125312
513519219	None
115149815	None
735877670135828482	239581652
942388820619743233	None
126128572	871133532810125312
396340525	2571656740
101255538	871133532810125312
2557402077	774592682144464896
835678458269282305	871133532810125312
847801669685587969	819246389116936192
824277988837572609	714971892109742080
370121222	83001152
30486121	83001152
313604665	949146687058030592
3304830531	2407454725
139860744	855456773070872576
82358892	51797285
3049250873	83001152
52398009	83001152
585855020	84076180
2943093201	2943093201
204417213	871133532810125312
511002586	None
91899715	266861485
2712692609	855456773070872576
809519968727474177	361849520
53059572	949146687058030592
3373415351	None
944022346805006337	None
904771102269952000	871133532810125312
55292386	84076180
951301452	2549016857
2890250412	989053890
2474308904	361849520
3434404877	148339735
928353071784177664	745467130540232704
311154011	3343298633
775831245733392384	939052138004733952
3053474514	949146687058030592
813522809309827072	178307421
384901069	37723058
2382641804	None
904771102269952000	871133532810125312
2962325092	855456773070872576
609239225	952908894157918208
836440117199929348	84076180
204417213	774592682144464896
807035573500256256	361849520
2897545864	764606346918518784
54588657	451263883
934529216657461248	None
220054039	None
871133532810125312	None
384901069	764606346918518784
33435237	880525171664310272
839915108818116610	774592682144464896
858744635006627842	361849520
320925080	65473559
773321436933058560	None
794677836804136961	880525171664310272
755528224503951361	842135456414330880
944022346805006337	725179408865218560
944022346805006337	949146687058030592
2774446345	328691962
1554592315	None
2970898655	None
868083003150540801	123710016
2965756581	855456773070872576
2352880846	None
951301452	84076180
49064653	768649012744511488
3990138682	3318337402
956310652259364864	None
768444336883240960	880525171664310272
126128572	2943093201
3045124835	939511227759386624
1166530836	37723058
860539017544163328	148339735
115149815	None
2529086442	871133532810125312
2999530600	204485184
3381981081	1458363655
380081309	714971892109742080
182561268	17503188
424431063	361849520
49064653	871133532810125312
3252372617	774592682144464896
755528224503951361	3207443800
2997241918	None
223626632	1571428436
3591731355	749935955927265280
460263352	871133532810125312
2916456381	None
3163055916	None
53059572	725179408865218560
321531496	None
899999419558440961	2571656740
4865288541	3035584828
902165414846791681	94199538
700877126665306112	774592682144464896
72134908	None
414813596	774592682144464896
904771102269952000	774592682144464896
239925224	3021789050
953788162597445632	918878111751688192
62140453	774592682144464896
63588670	774592682144464896
316125554	None
2965756581	84076180
909776335974862849	None
249668286	37723058
370121222	1255317464
847801669685587969	871133532810125312
227312912	774592682144464896
38133521	None
2935254634	84076180
58086992	2923397967
384901069	871133532810125312
51797285	None
57059339	None
139860744	855456773070872576
897447361185808384	764606346918518784
313604665	178307421
3381981081	2157102134
778954976441819136	None
789115415834333185	None
50065024	None
621158680	None
933353540294270976	None
30486121	918878111751688192
933768246867693568	None
93699646	898078792652132352
79331709	None
106094015	32004851
841794306818113536	953703759829401601
4728711093	None
3093806236	989053890
547420308	None
2399718442	94199538
897447361185808384	855456773070872576
3432959230	721498335283126272
872649049	None
182561268	84076180
2774446345	66220255
822803071218630657	None
1024192718	None
419885503	204485184
2691293724	256267168
2713276643	None
2535739595	764606346918518784
840564160735903744	949146687058030592
3437319347	871133532810125312
1476401210	None
335623883	None
737806893792546816	None
3625492996	84076180
307372320	66695161
359448848	989053890
2220347246	None
55851018	None
872559833421053952	361849520
33435237	871133532810125312
58086992	15249841
180958997	749935955927265280
313604665	361849520
3432959230	763171501872910336
2565267349	None
93896674	None
471575727	204485184
705812872	2571656740
3106749664	17503188
252804420	855456773070872576
385109644	83001152
547420308	None
755528224503951361	394669928
60950089	None
872559833421053952	None
1643750532	None
953788162597445632	871133532810125312
4196737858	764606346918518784
192639077	None
847965980903051265	749935955927265280
33435237	871133532810125312
3331916445	83001152
955061042085875712	None
3207460679	None
793643737	67506729
119731647	328691962
33435237	871133532810125312
628337062	None
952107053664948224	None
173851898	871133532810125312
274791620	None
705812872	784656800
262926465	None
144630561	84076180
2732882909	None
826594998246371331	774592682144464896
869702500257075201	871133532810125312
33435237	871133532810125312
734469719013658624	None
163220293	855456773070872576
139860744	855456773070872576
871133532810125312	None
160020766	2923397967
242527582	None
115149815	None
60147638	None
156089037	42193486
837792786	871133532810125312
946839496267624448	81023785
3432959230	939511227759386624
2305410974	871133532810125312
4150183265	None
4896362519	None
906781409091768321	361849520
85398528	101843145
218684207	218684207
711693169327476736	2365699398
894922013797646336	989053890
263420231	None
954882779824775168	None
313604665	328691962
136360864	2157102134
872559833421053952	204485184
1451391398	725523958146174977
2999530600	361849520
127738165	None
160020766	871133532810125312
2592803687	178307421
2916456381	None
955594892251713542	2523683941
64413120	2884022608
379728058	None
4196737858	None
460263352	871133532810125312
855811973652590593	83001152
2943093201	3318337402
711693169327476736	122389049
2923560940	1255317464
204417213	871133532810125312
239925224	15084884
205218441	989053890
66205927	871133532810125312
751889081135689728	243799287
899618347612082177	None
847801669685587969	2549152517
2996832729	774592682144464896
896328710839730176	714971892109742080
935183345348202496	2157102134
2660856905	79200775
2611334186	None
2861039991	70987200
167568597	779844450147237889
3394479279	774592682144464896
3046014311	871133532810125312
471575727	725179408865218560
3093806236	855456773070872576
737067976755712000	None
841794306818113536	204485184
725523958146174977	871133532810125312
869702500257075201	871133532810125312
63588670	122389049
76812330	None
711693169327476736	322697814
173851898	880525171664310272
292034665	774592682144464896
35956259	None
228717038	None
2387097931	898078792652132352
722093820582707201	328691962
3407350595	None
736398221359075328	None
72134908	None
718131006574829568	None
3990138682	2571656740
2723472070	741382796489396225
279170358	774592682144464896
2600383166	204485184
946839496267624448	871133532810125312
2942786063	204485184
722093820582707201	871133532810125312
3226694032	None
47735329	57059339
2304088261	1153839072
751889081135689728	37723058
2899216437	714971892109742080
837792786	871133532810125312
117820023	None
826594998246371331	949146687058030592
105906592	725179408865218560
3432959230	243799287
243241646	949146687058030592
243799287	243799287
379990153	2943093201
826594998246371331	328691962
895955468	2943093201
776476600678412288	871133532810125312
243799287	243799287
820099223509225472	871133532810125312
2774446345	3318337402
3045124835	269933450
163556245	None
4365910577	1870224804
205403449	54300580
896328710839730176	328691962
36119789	83001152
948397538784235521	749935955927265280
773321436933058560	None
820099223509225472	871133532810125312
1587209246	2571656740
899298238934765568	None
33435237	749935955927265280
2860659120	2484226796
63588670	871133532810125312
164068181	774592682144464896
823495092	None
1043046398	131927635
893633007965351937	871133532810125312
76812330	None
896328710839730176	880525171664310272
621158680	313016199
2327263815	None
3295882960	84076180
865648073283846144	None
950154033989390336	None
3026305647	719257910174466052
751889081135689728	764606346918518784
90897488	737085823473061888
491837028	749935955927265280
725009739688587269	None
112578464	239581652
859080104022081537	None
826594998246371331	178307421
2796724336	749935955927265280
149671448	None
73511804	148339735
904771102269952000	871133532810125312
952908894157918208	None
36823572	774592682144464896
268859460	871133532810125312
2916456381	2943093201
42439033	83001152
263420231	None
841794306818113536	None
63588670	880525171664310272
847801669685587969	910974487276998656
844952176501886976	66205927
1436176844	57059339
76316765	70987200
896328710839730176	871133532810125312
787779732410597376	774592682144464896
889955936865058818	2943093201
3026305647	871133532810125312
928641903788249088	None
58064534	367354771
4892079256	None
3347301916	871133532810125312
342958129	None
33435237	774592682144464896
491837028	None
826120825820606464	94199538
491837028	None
262198036	None
432379075	66695161
419766418	None
3093806236	774592682144464896
243799287	243799287
3432959230	269933450
286785894	774592682144464896
779185087	725179408865218560
711693169327476736	908697731421605888
4834161413	109406439
837792786	774592682144464896
263865646	83001152
933768246867693568	None
87080212	2943093201
2948494587	84076180
826594998246371331	361849520
63588670	191504980
737678629799395328	774592682144464896
451227507	774592682144464896
243799287	243799287
952107053664948224	None
715127286	None
3449621183	None
42294305	1087218997
58064534	2943093201
50065024	None
1216599770	None
1643750532	774592682144464896
3003253317	794577946740670464
313604665	86570688
58086992	871133532810125312
252804420	871133532810125312
2878167442	774592682144464896
737067976755712000	None
4819499224	774592682144464896
3432959230	909776335974862849
896328710839730176	815385161613410304
2916456381	None
1556296981	None
384901069	451263883
3432959230	945893810235695104
826594998246371331	204485184
228173343	725179408865218560
1972110079	None
815322234038484993	855456773070872576
90955059	84076180
830836403177189376	2157102134
184225398	774592682144464896
79331709	None
955737774392528897	None
783645318810329088	84076180
709371326822277121	69134992
2685619861	17503188
384901069	871133532810125312
30486121	3207443800
859934437366214656	949146687058030592
337405085	725179408865218560
1610963467	3035584828
725523958146174977	764606346918518784
163455931	191619692
384901069	871133532810125312
33435237	871133532810125312
