source,target
2593841845,1540034828
1345008686,25704704
81673187,2387543119
24948220,2347591152
877664982808375296,1540034828
877664982808375296,1540034828
2289664901,284652398
716957682142429184,1540034828
3155957627,3299942206
8209042,9983342
24814293,59326414
439972057,3387706750
165454815,1540034828
371519900,64257256
805492079870742528,36455991
192967664,284652398
507753382,60232046
912893456535752705,17031996
4561427773,296005306
348582235,59326414
2867384606,131574396
2697695927,711635253597708288
3124040422,25704704
929347164467355651,2387543119
240704081,360657563
240704081,360657563
796436081818402818,33625790
1531072194,142391273
26000511,105155795
745987182,2387543119
950543695358685185,131574396
907259251281850368,105155795
127262706,1540034828
127262706,1540034828
289000785,1202130601
289000785,1202130601
732963356835991552,45013575
2288895172,38942233
2367282920,3387706750
905061398702690304,1202130601
4885717227,38873640
711700348243681280,60723678
711700348243681280,60723678
53218484,2479861125
929347164467355651,17031996
891062142702690306,817467139300921344
1613813640,1540034828
191214491,1540034828
4002147743,17031996
524946367,194121277
716957682142429184,715426594689589248
442882516,2479861125
908400900481404929,139612761
295155524,193860347
2677140075,25704704
328348616,296005306
170186963,2573916020
3355549401,51813111
88083739,1540034828
2537712090,1540034828
967845274466078720,51813111
3262205265,1540034828
1323761864,1540034828
2817197789,744225149017284608
2817197789,744225149017284608
2315871541,25704704
60443799,2869573689
70864848,131574396
70864848,131574396
891603310041497600,739792270011076610
714588223075442688,183398510
890386596205387776,3240839284
890386596205387776,3240839284
796436081818402818,901815139900510208
2159391698,266230592
941091822226550790,60232046
941091822226550790,60232046
941091822226550790,60232046
24948220,31995106
913981018423558144,51813111
950543695358685185,3387706750
2962986857,17031996
2962986857,17031996
962704797542617089,1058911987
1639164054,284652398
519607288,459610168
4857470763,25704704
366968791,41931380
2332913319,2479861125
56812969,31995106
56812969,31995106
27580011,14519329
42544158,183398510
568565730,45013575
3527747416,2573916020
3527747416,2573916020
330360706,2479861125
766745670308995072,60232046
24806191,28188699
918512222539796482,2381289078
120054664,1540034828
2820126688,1540034828
165197068,1058911987
929347164467355651,3387706750
139772480,2896612757
139772480,2896612757
894254323596709889,51813111
894254323596709889,51813111
1523523918,4060086012
1523523918,4060086012
1531072194,183398510
385560494,41931380
612833307,2387543119
2288895172,64257256
2288895172,64257256
54158987,52225062
781277643748564992,33625790
205729124,851226362677514242
205729124,851226362677514242
85207052,1468452505
492482913,45013575
755175720633139200,183398510
885994113614721025,25858078
318646989,60232046
526693521,59326414
929347164467355651,25704704
929347164467355651,25704704
851795853111152640,839186516651945989
75334940,1540034828
2289664901,715426594689589248
2289664901,715426594689589248
257486581,155891768
364007451,715276002583252992
1639164054,1540034828
